sample_id,wav,duration,split,actor,emotion_code,intensity_code,statement_code,repetition_code,label_name,label_id
03-01-03-02-02-02-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-03-02-02-02-01.wav,3.9373,train,1,03,02,02,02,happy,2
03-01-04-01-01-01-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-04-01-01-01-01.wav,3.8372,train,1,04,01,01,01,sad,3
03-01-04-01-01-02-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-04-01-01-02-01.wav,3.5702,train,1,04,01,01,02,sad,3
03-01-04-01-02-01-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-04-01-02-01-01.wav,3.5035,train,1,04,01,02,01,sad,3
03-01-04-01-02-02-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-04-01-02-02-01.wav,3.37,train,1,04,01,02,02,sad,3
03-01-04-02-01-01-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-04-02-01-01-01.wav,3.8038,train,1,04,02,01,01,sad,3
03-01-04-02-01-02-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-04-02-01-02-01.wav,3.7037,train,1,04,02,01,02,sad,3
03-01-04-02-02-01-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-04-02-02-01-01.wav,3.7371,train,1,04,02,02,01,sad,3
03-01-04-02-02-02-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-04-02-02-02-01.wav,3.7371,train,1,04,02,02,02,sad,3
03-01-05-01-01-01-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-05-01-01-01-01.wav,3.8705,train,1,05,01,01,01,angry,4
03-01-05-01-01-02-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-05-01-01-02-01.wav,3.9373,train,1,05,01,01,02,angry,4
03-01-05-01-02-01-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-05-01-02-01-01.wav,3.5035,train,1,05,01,02,01,angry,4
03-01-05-01-02-02-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-05-01-02-02-01.wav,3.7371,train,1,05,01,02,02,angry,4
03-01-05-02-01-01-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-05-02-01-01-01.wav,4.1041,train,1,05,02,01,01,angry,4
03-01-05-02-01-02-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-05-02-01-02-01.wav,4.371,train,1,05,02,01,02,angry,4
03-01-05-02-02-01-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-05-02-02-01-01.wav,4.1375,train,1,05,02,02,01,angry,4
03-01-05-02-02-02-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-05-02-02-02-01.wav,4.4378,train,1,05,02,02,02,angry,4
03-01-06-01-01-01-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-06-01-01-01-01.wav,3.6703,train,1,06,01,01,01,fearful,5
03-01-06-01-01-02-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-06-01-01-02-01.wav,3.637,train,1,06,01,01,02,fearful,5
03-01-06-01-02-01-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-06-01-02-01-01.wav,3.4368,train,1,06,01,02,01,fearful,5
03-01-06-01-02-02-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-06-01-02-02-01.wav,3.7037,train,1,06,01,02,02,fearful,5
03-01-06-02-01-01-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-06-02-01-01-01.wav,5.005,train,1,06,02,01,01,fearful,5
03-01-06-02-01-02-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-06-02-01-02-01.wav,4.2376,train,1,06,02,01,02,fearful,5
03-01-06-02-02-01-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-06-02-02-01-01.wav,3.9706,train,1,06,02,02,01,fearful,5
03-01-06-02-02-02-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-06-02-02-02-01.wav,3.9039,train,1,06,02,02,02,fearful,5
03-01-07-01-01-01-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-07-01-01-01-01.wav,3.8705,train,1,07,01,01,01,disgust,6
03-01-07-01-01-02-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-07-01-01-02-01.wav,3.9039,train,1,07,01,01,02,disgust,6
03-01-07-01-02-01-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-07-01-02-01-01.wav,3.9039,train,1,07,01,02,01,disgust,6
03-01-07-01-02-02-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-07-01-02-02-01.wav,3.8372,train,1,07,01,02,02,disgust,6
03-01-07-02-01-01-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-07-02-01-01-01.wav,4.3043,train,1,07,02,01,01,disgust,6
03-01-07-02-01-02-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-07-02-01-02-01.wav,4.1041,train,1,07,02,01,02,disgust,6
03-01-07-02-02-01-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-07-02-02-01-01.wav,4.0374,train,1,07,02,02,01,disgust,6
03-01-07-02-02-02-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-07-02-02-02-01.wav,4.371,train,1,07,02,02,02,disgust,6
03-01-08-01-01-01-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-08-01-01-01-01.wav,3.4034,train,1,08,01,01,01,surprise,7
03-01-08-01-01-02-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-08-01-01-02-01.wav,3.2699,train,1,08,01,01,02,surprise,7
03-01-08-01-02-01-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-08-01-02-01-01.wav,3.5369,train,1,08,01,02,01,surprise,7
03-01-08-01-02-02-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-08-01-02-02-01.wav,3.2699,train,1,08,01,02,02,surprise,7
03-01-08-02-01-01-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-08-02-01-01-01.wav,3.4367,train,1,08,02,01,01,surprise,7
03-01-08-02-01-02-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-08-02-01-02-01.wav,3.5702,train,1,08,02,01,02,surprise,7
03-01-08-02-02-01-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-08-02-02-01-01.wav,3.5035,train,1,08,02,02,01,surprise,7
03-01-08-02-02-02-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-08-02-02-02-01.wav,3.2699,train,1,08,02,02,02,surprise,7
03-01-01-01-01-01-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-01-01-01-01-02.wav,3.637,train,2,01,01,01,01,neutral,0
03-01-01-01-01-02-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-01-01-01-02-02.wav,3.6036,train,2,01,01,01,02,neutral,0
03-01-01-01-02-01-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-01-01-02-01-02.wav,3.7704,train,2,01,01,02,01,neutral,0
03-01-01-01-02-02-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-01-01-02-02-02.wav,3.6036,train,2,01,01,02,02,neutral,0
03-01-02-01-01-01-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-02-01-01-01-02.wav,3.8372,train,2,02,01,01,01,calm,1
03-01-02-01-01-02-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-02-01-01-02-02.wav,4.004,train,2,02,01,01,02,calm,1
03-01-02-01-02-01-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-02-01-02-01-02.wav,3.8372,train,2,02,01,02,01,calm,1
03-01-02-01-02-02-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-02-01-02-02-02.wav,3.9706,train,2,02,01,02,02,calm,1
03-01-02-02-01-01-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-02-02-01-01-02.wav,4.1375,train,2,02,02,01,01,calm,1
03-01-02-02-01-02-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-02-02-01-02-02.wav,4.0374,train,2,02,02,01,02,calm,1
03-01-02-02-02-01-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-02-02-02-01-02.wav,4.1041,train,2,02,02,02,01,calm,1
03-01-02-02-02-02-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-02-02-02-02-02.wav,4.1041,train,2,02,02,02,02,calm,1
03-01-03-01-01-01-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-03-01-01-01-02.wav,3.6036,train,2,03,01,01,01,happy,2
03-01-03-01-01-02-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-03-01-01-02-02.wav,3.7037,train,2,03,01,01,02,happy,2
03-01-03-01-02-01-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-03-01-02-01-02.wav,3.7704,train,2,03,01,02,01,happy,2
03-01-03-01-02-02-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-03-01-02-02-02.wav,3.7371,train,2,03,01,02,02,happy,2
03-01-03-02-01-01-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-03-02-01-01-02.wav,3.7037,train,2,03,02,01,01,happy,2
03-01-03-02-01-02-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-03-02-01-02-02.wav,3.6703,train,2,03,02,01,02,happy,2
03-01-03-02-02-01-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-03-02-02-01-02.wav,3.7037,train,2,03,02,02,01,happy,2
03-01-03-02-02-02-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-03-02-02-02-02.wav,3.8705,train,2,03,02,02,02,happy,2
03-01-04-01-01-01-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-04-01-01-01-02.wav,3.8372,train,2,04,01,01,01,sad,3
03-01-04-01-01-02-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-04-01-01-02-02.wav,3.7704,train,2,04,01,01,02,sad,3
03-01-04-01-02-01-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-04-01-02-01-02.wav,3.7371,train,2,04,01,02,01,sad,3
03-01-04-01-02-02-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-04-01-02-02-02.wav,3.7704,train,2,04,01,02,02,sad,3
03-01-04-02-01-01-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-04-02-01-01-02.wav,3.7371,train,2,04,02,01,01,sad,3
03-01-04-02-01-02-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-04-02-01-02-02.wav,3.7704,train,2,04,02,01,02,sad,3
03-01-04-02-02-01-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-04-02-02-01-02.wav,3.7037,train,2,04,02,02,01,sad,3
03-01-04-02-02-02-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-04-02-02-02-02.wav,3.6703,train,2,04,02,02,02,sad,3
03-01-05-01-01-01-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-05-01-01-01-02.wav,3.6703,train,2,05,01,01,01,angry,4
03-01-05-01-01-02-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-05-01-01-02-02.wav,3.6703,train,2,05,01,01,02,angry,4
03-01-05-01-02-01-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-05-01-02-01-02.wav,3.7704,train,2,05,01,02,01,angry,4
03-01-05-01-02-02-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-05-01-02-02-02.wav,3.8038,train,2,05,01,02,02,angry,4
03-01-05-02-01-01-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-05-02-01-01-02.wav,3.9039,train,2,05,02,01,01,angry,4
03-01-05-02-01-02-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-05-02-01-02-02.wav,4.004,train,2,05,02,01,02,angry,4
03-01-05-02-02-01-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-05-02-02-01-02.wav,4.004,train,2,05,02,02,01,angry,4
03-01-05-02-02-02-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-05-02-02-02-02.wav,4.004,train,2,05,02,02,02,angry,4
03-01-06-01-01-01-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-06-01-01-01-02.wav,3.637,train,2,06,01,01,01,fearful,5
03-01-06-01-01-02-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-06-01-01-02-02.wav,3.7371,train,2,06,01,01,02,fearful,5
03-01-06-01-02-01-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-06-01-02-01-02.wav,3.6703,train,2,06,01,02,01,fearful,5
03-01-06-01-02-02-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-06-01-02-02-02.wav,3.7371,train,2,06,01,02,02,fearful,5
03-01-06-02-01-01-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-06-02-01-01-02.wav,3.8038,train,2,06,02,01,01,fearful,5
03-01-06-02-01-02-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-06-02-01-02-02.wav,3.637,train,2,06,02,01,02,fearful,5
03-01-06-02-02-01-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-06-02-02-01-02.wav,3.6036,train,2,06,02,02,01,fearful,5
03-01-06-02-02-02-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-06-02-02-02-02.wav,3.6036,train,2,06,02,02,02,fearful,5
03-01-07-01-01-01-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-07-01-01-01-02.wav,3.6703,train,2,07,01,01,01,disgust,6
03-01-07-01-01-02-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-07-01-01-02-02.wav,3.637,train,2,07,01,01,02,disgust,6
03-01-07-01-02-01-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-07-01-02-01-02.wav,3.8705,train,2,07,01,02,01,disgust,6
03-01-07-01-02-02-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-07-01-02-02-02.wav,3.8372,train,2,07,01,02,02,disgust,6
03-01-07-02-01-01-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-07-02-01-01-02.wav,4.1375,train,2,07,02,01,01,disgust,6
03-01-07-02-01-02-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-07-02-01-02-02.wav,4.1375,train,2,07,02,01,02,disgust,6
03-01-07-02-02-01-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-07-02-02-01-02.wav,4.004,train,2,07,02,02,01,disgust,6
03-01-07-02-02-02-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-07-02-02-02-02.wav,4.0374,train,2,07,02,02,02,disgust,6
03-01-08-01-01-01-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-08-01-01-01-02.wav,3.5369,train,2,08,01,01,01,surprise,7
03-01-08-01-01-02-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-08-01-01-02-02.wav,3.5369,train,2,08,01,01,02,surprise,7
03-01-08-01-02-01-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-08-01-02-01-02.wav,3.6036,train,2,08,01,02,01,surprise,7
03-01-08-01-02-02-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-08-01-02-02-02.wav,3.5369,train,2,08,01,02,02,surprise,7
03-01-08-02-01-01-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-08-02-01-01-02.wav,3.7371,train,2,08,02,01,01,surprise,7
03-01-08-02-01-02-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-08-02-01-02-02.wav,3.7704,train,2,08,02,01,02,surprise,7
03-01-08-02-02-01-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-08-02-02-01-02.wav,3.7371,train,2,08,02,02,01,surprise,7
03-01-08-02-02-02-02,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_02/03-01-08-02-02-02-02.wav,3.8038,train,2,08,02,02,02,surprise,7
03-01-01-01-01-01-03,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_03/03-01-01-01-01-01-03.wav,3.4368,train,3,01,01,01,01,neutral,0
03-01-01-01-01-02-03,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_03/03-01-01-01-01-02-03.wav,3.5035,train,3,01,01,01,02,neutral,0
03-01-01-01-02-01-03,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_03/03-01-01-01-02-01-03.wav,3.5035,train,3,01,01,02,01,neutral,0
03-01-01-01-02-02-03,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_03/03-01-01-01-02-02-03.wav,3.4701,train,3,01,01,02,02,neutral,0
03-01-02-01-01-01-03,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_03/03-01-02-01-01-01-03.wav,3.8372,train,3,02,01,01,01,calm,1
03-01-02-01-01-02-03,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_03/03-01-02-01-01-02-03.wav,3.7371,train,3,02,01,01,02,calm,1
03-01-02-01-02-01-03,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_03/03-01-02-01-02-01-03.wav,3.8372,train,3,02,01,02,01,calm,1
03-01-02-01-02-02-03,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_03/03-01-02-01-02-02-03.wav,3.9706,train,3,02,01,02,02,calm,1
03-01-02-02-01-01-03,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_03/03-01-02-02-01-01-03.wav,4.0374,train,3,02,02,01,01,calm,1
03-01-02-02-01-02-03,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_03/03-01-02-02-01-02-03.wav,3.9706,train,3,02,02,01,02,calm,1
03-01-02-02-02-01-03,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_03/03-01-02-02-02-01-03.wav,4.1375,train,3,02,02,02,01,calm,1
03-01-02-02-02-02-03,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_03/03-01-02-02-02-02-03.wav,4.004,train,3,02,02,02,02,calm,1
03-01-03-01-01-01-03,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_03/03-01-03-01-01-01-03.wav,3.7704,train,3,03,01,01,01,happy,2
03-01-03-01-01-02-03,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_03/03-01-03-01-01-02-03.wav,3.6036,train,3,03,01,01,02,happy,2
03-01-03-01-02-01-03,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_03/03-01-03-01-02-01-03.wav,3.5035,train,3,03,01,02,01,happy,2
03-01-03-01-02-02-03,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_03/03-01-03-01-02-02-03.wav,3.5035,train,3,03,01,02,02,happy,2
03-01-03-02-01-01-03,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_03/03-01-03-02-01-01-03.wav,4.3043,train,3,03,02,01,01,happy,2
03-01-03-02-01-02-03,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_03/03-01-03-02-01-02-03.wav,4.4044,train,3,03,02,01,02,happy,2
03-01-03-02-02-01-03,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_03/03-01-03-02-02-01-03.wav,4.1375,train,3,03,02,02,01,happy,2
03-01-03-02-02-02-03,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_03/03-01-03-02-02-02-03.wav,3.8372,train,3,03,02,02,02,happy,2
03-01-04-01-01-01-03,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_03/03-01-04-01-01-01-03.wav,3.6036,train,3,04,01,01,01,sad,3
