av_key,sample_id,stem,wav_path,actor_id,split,emotion_code,label_id,label_name,intensity_code,statement_code,repetition_code,pred_id,pred_name,prob_neutral,prob_calm,prob_happy,prob_sad,prob_angry,prob_fearful,prob_disgust,prob_surprise,embedding_path,embedding_dim
01-01-01-01-01-14,03-01-01-01-01-01-14,03-01-01-01-01-01-14,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_14/03-01-01-01-01-01-14.wav,14,train,01,0,neutral,01,01,01,0,neutral,0.231472,0.119247,0.089249,0.101754,0.10089,0.084205,0.105681,0.167501,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-01-14.npy,96
01-01-01-01-01-15,03-01-01-01-01-01-15,03-01-01-01-01-01-15,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_15/03-01-01-01-01-01-15.wav,15,train,01,0,neutral,01,01,01,0,neutral,0.253482,0.123449,0.093698,0.117964,0.089566,0.073705,0.113587,0.134548,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-01-15.npy,96
01-01-01-01-01-16,03-01-01-01-01-01-16,03-01-01-01-01-01-16,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_16/03-01-01-01-01-01-16.wav,16,train,01,0,neutral,01,01,01,0,neutral,0.258033,0.137509,0.107367,0.109205,0.096039,0.070371,0.11948,0.101996,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-01-16.npy,96
01-01-01-01-02-01,03-01-01-01-01-02-01,03-01-01-01-01-02-01,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-01-02-01.wav,1,train,01,0,neutral,01,01,02,0,neutral,0.247938,0.091307,0.105913,0.097737,0.105657,0.098991,0.112802,0.139654,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-02-01.npy,96
01-01-01-01-02-02,03-01-01-01-01-02-02,03-01-01-01-01-02-02,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_02/03-01-01-01-01-02-02.wav,2,train,01,0,neutral,01,01,02,0,neutral,0.28095,0.108843,0.095472,0.11188,0.116351,0.092358,0.096596,0.097551,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-02-02.npy,96
01-01-01-01-02-03,03-01-01-01-01-02-03,03-01-01-01-01-02-03,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_03/03-01-01-01-01-02-03.wav,3,train,01,0,neutral,01,01,02,0,neutral,0.262379,0.126885,0.118868,0.101327,0.122067,0.074621,0.09793,0.095922,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-02-03.npy,96
01-01-01-01-02-04,03-01-01-01-01-02-04,03-01-01-01-01-02-04,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_04/03-01-01-01-01-02-04.wav,4,train,01,0,neutral,01,01,02,0,neutral,0.267416,0.12465,0.102975,0.093077,0.101803,0.083849,0.116954,0.109277,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-02-04.npy,96
01-01-01-01-02-05,03-01-01-01-01-02-05,03-01-01-01-01-02-05,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_05/03-01-01-01-01-02-05.wav,5,train,01,0,neutral,01,01,02,0,neutral,0.252821,0.133411,0.073559,0.08848,0.134687,0.094382,0.10643,0.116228,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-02-05.npy,96
01-01-01-01-02-06,03-01-01-01-01-02-06,03-01-01-01-01-02-06,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_06/03-01-01-01-01-02-06.wav,6,train,01,0,neutral,01,01,02,0,neutral,0.260737,0.094092,0.120938,0.098622,0.102723,0.095265,0.120613,0.107011,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-02-06.npy,96
01-01-01-01-02-07,03-01-01-01-01-02-07,03-01-01-01-01-02-07,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_07/03-01-01-01-01-02-07.wav,7,train,01,0,neutral,01,01,02,0,neutral,0.262353,0.103406,0.131597,0.100826,0.100178,0.096633,0.110399,0.094607,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-02-07.npy,96
01-01-01-01-02-08,03-01-01-01-01-02-08,03-01-01-01-01-02-08,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_08/03-01-01-01-01-02-08.wav,8,train,01,0,neutral,01,01,02,0,neutral,0.261803,0.107646,0.072707,0.138724,0.105518,0.082564,0.124547,0.10649,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-02-08.npy,96
01-01-01-01-02-09,03-01-01-01-01-02-09,03-01-01-01-01-02-09,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_09/03-01-01-01-01-02-09.wav,9,train,01,0,neutral,01,01,02,0,neutral,0.236388,0.140346,0.108967,0.087396,0.112431,0.085543,0.101399,0.12753,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-02-09.npy,96
01-01-01-01-02-10,03-01-01-01-01-02-10,03-01-01-01-01-02-10,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_10/03-01-01-01-01-02-10.wav,10,train,01,0,neutral,01,01,02,0,neutral,0.262822,0.120519,0.098314,0.113523,0.121371,0.064386,0.122581,0.096485,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-02-10.npy,96
01-01-01-01-02-11,03-01-01-01-01-02-11,03-01-01-01-01-02-11,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_11/03-01-01-01-01-02-11.wav,11,train,01,0,neutral,01,01,02,0,neutral,0.250982,0.124041,0.14206,0.105886,0.080318,0.097818,0.108884,0.090012,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-02-11.npy,96
01-01-01-01-02-12,03-01-01-01-01-02-12,03-01-01-01-01-02-12,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_12/03-01-01-01-01-02-12.wav,12,train,01,0,neutral,01,01,02,0,neutral,0.263064,0.127581,0.101625,0.114335,0.08598,0.074483,0.122877,0.110057,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-02-12.npy,96
01-01-01-01-02-13,03-01-01-01-01-02-13,03-01-01-01-01-02-13,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_13/03-01-01-01-01-02-13.wav,13,train,01,0,neutral,01,01,02,0,neutral,0.248096,0.125732,0.111899,0.098336,0.086282,0.078541,0.118047,0.133067,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-02-13.npy,96
01-01-01-01-02-14,03-01-01-01-01-02-14,03-01-01-01-01-02-14,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_14/03-01-01-01-01-02-14.wav,14,train,01,0,neutral,01,01,02,0,neutral,0.220074,0.120368,0.106163,0.090476,0.083645,0.092811,0.119923,0.166539,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-02-14.npy,96
01-01-01-01-02-15,03-01-01-01-01-02-15,03-01-01-01-01-02-15,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_15/03-01-01-01-01-02-15.wav,15,train,01,0,neutral,01,01,02,0,neutral,0.248945,0.146358,0.110703,0.137826,0.106194,0.065999,0.085506,0.098469,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-02-15.npy,96
01-01-01-01-02-16,03-01-01-01-01-02-16,03-01-01-01-01-02-16,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_16/03-01-01-01-01-02-16.wav,16,train,01,0,neutral,01,01,02,0,neutral,0.254731,0.134719,0.11785,0.115192,0.090463,0.068141,0.10574,0.113163,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-02-16.npy,96
01-01-01-02-01-01,03-01-01-01-02-01-01,03-01-01-01-02-01-01,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-02-01-01.wav,1,train,01,0,neutral,01,02,01,0,neutral,0.239536,0.120412,0.133318,0.097144,0.102514,0.087592,0.088955,0.130529,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-02-01-01.npy,96
01-01-01-02-01-02,03-01-01-01-02-01-02,03-01-01-01-02-01-02,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_02/03-01-01-01-02-01-02.wav,2,train,01,0,neutral,01,02,01,0,neutral,0.244224,0.115017,0.119462,0.125529,0.109426,0.094108,0.073694,0.118539,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-02-01-02.npy,96
01-01-01-02-01-03,03-01-01-01-02-01-03,03-01-01-01-02-01-03,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_03/03-01-01-01-02-01-03.wav,3,train,01,0,neutral,01,02,01,0,neutral,0.266337,0.113347,0.088958,0.130977,0.099744,0.067819,0.109213,0.123605,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-02-01-03.npy,96
01-01-01-02-01-04,03-01-01-01-02-01-04,03-01-01-01-02-01-04,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_04/03-01-01-01-02-01-04.wav,4,train,01,0,neutral,01,02,01,0,neutral,0.245337,0.103315,0.110457,0.125779,0.078332,0.083982,0.106166,0.146633,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-02-01-04.npy,96
01-01-01-02-01-05,03-01-01-01-02-01-05,03-01-01-01-02-01-05,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_05/03-01-01-01-02-01-05.wav,5,train,01,0,neutral,01,02,01,0,neutral,0.257485,0.111082,0.121413,0.100419,0.099247,0.085856,0.104483,0.120015,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-02-01-05.npy,96
01-01-01-02-01-06,03-01-01-01-02-01-06,03-01-01-01-02-01-06,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_06/03-01-01-01-02-01-06.wav,6,train,01,0,neutral,01,02,01,0,neutral,0.257275,0.122026,0.139321,0.122111,0.08809,0.077374,0.106048,0.087756,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-02-01-06.npy,96
01-01-01-02-01-07,03-01-01-01-02-01-07,03-01-01-01-02-01-07,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_07/03-01-01-01-02-01-07.wav,7,train,01,0,neutral,01,02,01,0,neutral,0.241969,0.119681,0.14119,0.088269,0.106306,0.097691,0.094806,0.110087,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-02-01-07.npy,96
01-01-01-02-01-08,03-01-01-01-02-01-08,03-01-01-01-02-01-08,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_08/03-01-01-01-02-01-08.wav,8,train,01,0,neutral,01,02,01,0,neutral,0.265951,0.123629,0.100828,0.094345,0.097372,0.092553,0.104591,0.120731,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-02-01-08.npy,96
01-01-01-02-01-09,03-01-01-01-02-01-09,03-01-01-01-02-01-09,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_09/03-01-01-01-02-01-09.wav,9,train,01,0,neutral,01,02,01,0,neutral,0.23142,0.105104,0.107138,0.102825,0.109318,0.067977,0.122399,0.15382,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-02-01-09.npy,96
01-01-01-02-01-10,03-01-01-01-02-01-10,03-01-01-01-02-01-10,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_10/03-01-01-01-02-01-10.wav,10,train,01,0,neutral,01,02,01,0,neutral,0.268732,0.10656,0.119784,0.115582,0.088314,0.091789,0.11512,0.094119,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-02-01-10.npy,96
01-01-01-02-01-11,03-01-01-01-02-01-11,03-01-01-01-02-01-11,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_11/03-01-01-01-02-01-11.wav,11,train,01,0,neutral,01,02,01,0,neutral,0.263164,0.130883,0.09837,0.086229,0.106353,0.099702,0.10134,0.113959,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-02-01-11.npy,96
01-01-01-02-01-12,03-01-01-01-02-01-12,03-01-01-01-02-01-12,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_12/03-01-01-01-02-01-12.wav,12,train,01,0,neutral,01,02,01,0,neutral,0.269657,0.111441,0.114945,0.128932,0.091588,0.097023,0.103446,0.082969,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-02-01-12.npy,96
01-01-01-02-01-13,03-01-01-01-02-01-13,03-01-01-01-02-01-13,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_13/03-01-01-01-02-01-13.wav,13,train,01,0,neutral,01,02,01,0,neutral,0.233972,0.144077,0.117091,0.103482,0.079366,0.076651,0.112761,0.132599,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-02-01-13.npy,96
01-01-01-02-01-14,03-01-01-01-02-01-14,03-01-01-01-02-01-14,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_14/03-01-01-01-02-01-14.wav,14,train,01,0,neutral,01,02,01,7,surprise,0.194813,0.10854,0.102609,0.095455,0.089323,0.083281,0.125298,0.200681,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-02-01-14.npy,96
01-01-01-02-01-15,03-01-01-01-02-01-15,03-01-01-01-02-01-15,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_15/03-01-01-01-02-01-15.wav,15,train,01,0,neutral,01,02,01,0,neutral,0.244221,0.1244,0.090031,0.120299,0.115638,0.061409,0.106264,0.137737,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-02-01-15.npy,96
01-01-01-02-01-16,03-01-01-01-02-01-16,03-01-01-01-02-01-16,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_16/03-01-01-01-02-01-16.wav,16,train,01,0,neutral,01,02,01,0,neutral,0.266101,0.123415,0.107073,0.116311,0.091949,0.085675,0.091809,0.117666,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-02-01-16.npy,96
01-01-01-02-02-01,03-01-01-01-02-02-01,03-01-01-01-02-02-01,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-02-02-01.wav,1,train,01,0,neutral,01,02,02,0,neutral,0.25249,0.116192,0.112593,0.105269,0.10927,0.103347,0.080178,0.120661,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-02-02-01.npy,96
01-01-01-02-02-02,03-01-01-01-02-02-02,03-01-01-01-02-02-02,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_02/03-01-01-01-02-02-02.wav,2,train,01,0,neutral,01,02,02,0,neutral,0.260026,0.116941,0.114265,0.119629,0.105329,0.083056,0.080714,0.120039,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-02-02-02.npy,96
01-01-01-02-02-03,03-01-01-01-02-02-03,03-01-01-01-02-02-03,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_03/03-01-01-01-02-02-03.wav,3,train,01,0,neutral,01,02,02,0,neutral,0.265921,0.138073,0.106548,0.115504,0.085666,0.077715,0.10251,0.108063,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-02-02-03.npy,96
01-01-01-02-02-04,03-01-01-01-02-02-04,03-01-01-01-02-02-04,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_04/03-01-01-01-02-02-04.wav,4,train,01,0,neutral,01,02,02,0,neutral,0.243332,0.120844,0.120326,0.110376,0.081518,0.078502,0.105852,0.13925,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-02-02-04.npy,96
01-01-01-02-02-05,03-01-01-01-02-02-05,03-01-01-01-02-02-05,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_05/03-01-01-01-02-02-05.wav,5,train,01,0,neutral,01,02,02,0,neutral,0.252388,0.129006,0.069366,0.11098,0.108897,0.096076,0.099538,0.133748,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-02-02-05.npy,96
01-01-01-02-02-06,03-01-01-01-02-02-06,03-01-01-01-02-02-06,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_06/03-01-01-01-02-02-06.wav,6,train,01,0,neutral,01,02,02,0,neutral,0.260347,0.122224,0.124879,0.127743,0.098571,0.068117,0.104707,0.093411,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-02-02-06.npy,96
01-01-01-02-02-07,03-01-01-01-02-02-07,03-01-01-01-02-02-07,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_07/03-01-01-01-02-02-07.wav,7,train,01,0,neutral,01,02,02,0,neutral,0.270854,0.117284,0.1124,0.092856,0.113674,0.094963,0.109347,0.088622,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-02-02-07.npy,96
01-01-01-02-02-08,03-01-01-01-02-02-08,03-01-01-01-02-02-08,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_08/03-01-01-01-02-02-08.wav,8,train,01,0,neutral,01,02,02,0,neutral,0.260399,0.123586,0.080798,0.106351,0.112821,0.07932,0.10672,0.130004,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-02-02-08.npy,96
01-01-01-02-02-09,03-01-01-01-02-02-09,03-01-01-01-02-02-09,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_09/03-01-01-01-02-02-09.wav,9,train,01,0,neutral,01,02,02,0,neutral,0.224362,0.110989,0.126079,0.083654,0.124691,0.083538,0.104347,0.14234,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-02-02-09.npy,96
